"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Honeywell","HON","121816932352","183.47","United States"
"2","Lockheed Martin","LMT","112334258176","446.07","United States"
"3","Boeing","BA","112008945664","185.69","United States"
"4","Raytheon Technologies","RTX","108057804800","74.24","United States"
"5","Airbus","AIR.PA","103400478926","128.69","Netherlands"
"6","Northrop Grumman","NOC","74251993088","490.76","United States"
"7","Safran","SAF.PA","64921067383","155.45","France"
"8","TransDigm","TDG","46459285504","841.91","United States"
"9","BAE Systems","BA.L","38150835455","12.55","United Kingdom"
"10","Rolls-Royce Holdings","RR.L","21620786327","2.48","United Kingdom"
"11","Howmet Aerospace","HWM","18281424896","44.35","United States"
"12","Hindustan Aeronautics","HAL.NS","15710811655","23.49","India"
"13","Bharat Electronics","BEL.NS","12039793351","1.65","India"
"14","MTU Aero Engines","MTX.DE","9262819866","172.5","Germany"
"15","Elbit Systems","ESLT","8706392064","195.75","Israel"
"16","Leonardo","LDO.MI","8355706846","14.52","Italy"
"17","Kongsberg Gruppen","KOG.OL","7670109115","43.6","Norway"
"18","Woodward","WWD","7633763840","126.35","United States"
"19","CAE","CAE","6873305600","21.51","Canada"
"20","SAAB AB","SAAB-B.ST","6692161655","50.44","Sweden"
"21","Iridium Communications","IRDM","5509723648","43.77","United States"
"22","Leonardo DRS","DRS","5111620096","19.51","United States"
"23","Aerojet Rocketdyne","AJRD","4683208704","57.99","United States"
"24","Joby Aviation","JOBY","4350119424","6.27","United States"
"25","Hanwha Aerospace","012450.KS","3620178924","71.59","South Korea"
"26","Korea Aerospace Industries","047810.KS","3514140950","36.05","South Korea"
"27","Bombardier","BBD-B.TO","3110744774","32.53","Canada"
"28","AeroVironment","AVAV","3055996160","116.24","United States"
"29","Embraer","ERJ","2582231552","14.06","Brazil"
"30","Globalstar","GSAT","2466837504","1.25","United States"
"31","Mercury Systems","MRCY","2264119808","38.18","United States"
"32","Spirit AeroSystems","SPR","2227915264","21.16","United States"
"33","Rocket Lab","RKLB","2054139776","4.25","United States"
"34","ENAV","ENAV.MI","1957834497","3.37","Italy"
"35","Barnes Group","B","1681312640","33.21","United States"
"36","Archer Aviation","ACHR","1425152896","5.02","United States"
"37","EHang Holdings","EH","1150477056","19.05","China"
"38","OHB SE","OHB.DE","790184027","45.51","Germany"
"39","Bristow Group","VTOL","789494336","28.02","United States"
"40","Ducommun","DCO","688122176","47.23","United States"
"41","AST SpaceMobile","ASTS","672615744","3.09","United States"
"42","Virgin Galactic","SPCE","671860736","1.71","United States"
"43","Planet Labs","PL","645591616","2.26","United States"
"44","Triumph Group","TGI","590692352","7.7","United States"
"45","Telesat","TSAT","567001856","11.42","Canada"
"46","Kaman","KAMN","555359744","19.68","United States"
"47","Astronics Corporation","ATRO","503073056","15.51","United States"
"48","Lilium","LILM","334628000","0.6448","Germany"
"49","Park Aerospace","PKE","297068960","14.67","United States"
"50","Vertical Aerospace","EVTL","234483648","1.06","United Kingdom"
"51","Luna Innovations","LUNA","203430720","5.97","United States"
"52","Redwire","RDW","178105120","2.75","United States"
"53","BlackSky Technology","BKSY","174621760","1.24","United States"
"54","Terran Orbital","LLAP","150530880","0.7186","United States"
"55","Innovative Solutions and Support","ISSC","128235448","7.35","United States"
"56","Surf Air Mobility","SRFM","92242536","1.32","United States"
"57","Satellogic","SATL","89652536","0.9999","United States"
"58","TAT Technologies","TATT","70287424","7.86","Israel"
"59","Intuitive Machines","LUNR","69880048","3.33","United States"
"60","EMCORE Corporation","EMKR","34158420","0.445","United States"
"61","Draganfly","DPRO","32028260","0.739","Canada"
"62","Astrotech","ASTC","15494059","9.2101","United States"
"63","ParaZero Technologies","PRZO","14949478","2.47","Israel"
"64","AgEagle Aerial Systems","UAVS","14770239","0.1253","United States"
"65","Astra Space","ASTR","13928767","0.7508","United States"
"66","Momentus","MNTS","11287818","4.19","United States"
"67","Air Industries Group","AIRI","9277320","2.82","United States"
"68","Sidus Space","SIDU","7885631","0.108","United States"
